UniversalName,N,InfectsHumans,BagScore_Lower,BagScore_Upper,RawScore,RunName
Adeno-associated dependoparvovirus A,100,TRUE,0.1690432297644951,0.5268524207175438,0.32293870072790454,All genome composition feature sets
Adeno-associated dependoparvovirus B,100,TRUE,0.1596851999026937,0.6006279365750504,0.3640967946425539,All genome composition feature sets
Aedes pseudoscutellaris reovirus,100,FALSE,0.10320856895956645,0.338453615561774,0.20569477544829243,All genome composition feature sets
African green monkey simian foamy virus,100,TRUE,0.1604178241235117,0.6280371423040272,0.3482774555318577,All genome composition feature sets
African horse sickness virus,100,FALSE,0.09516148882088935,0.36451433088222523,0.19554761777296278,All genome composition feature sets
African pouched rat arterivirus,100,FALSE,0.07567456335641229,0.25481247292824727,0.15491728114560485,All genome composition feature sets
African swine fever virus,100,FALSE,0.09941743632214219,0.39958346736375977,0.22175644128281666,All genome composition feature sets
Aichivirus A,100,TRUE,0.09984833457497695,0.3597083244162025,0.22366806675766074,All genome composition feature sets
Aichivirus B,100,FALSE,0.06106419099870006,0.3423428657160794,0.1828011799167343,All genome composition feature sets
Aichivirus C,100,FALSE,0.0937025308414813,0.3814705779056259,0.1936200319007686,All genome composition feature sets
Aichivirus D,100,FALSE,0.06768145682408289,0.25013184442142616,0.1474180120792464,All genome composition feature sets
Aichivirus E,100,FALSE,0.08864890663331229,0.3051739224310448,0.18083197920838118,All genome composition feature sets
Aichivirus F,100,FALSE,0.11886091298469906,0.3364155175090045,0.2073987786570908,All genome composition feature sets
Alcelaphine gammaherpesvirus 1,100,FALSE,0.07650769458482223,0.3956306228282355,0.20572693594450817,All genome composition feature sets
Alethinophid 2 reptarenavirus,100,FALSE,0.18021582940345338,0.5551443901473578,0.33823006753776236,All genome composition feature sets
Alethinophid 3 reptarenavirus,100,FALSE,0.1888435035925251,0.6505687530722082,0.3973201971044317,All genome composition feature sets
Alfalfa dwarf cytorhabdovirus,100,FALSE,0.03733005440302527,0.16872374538056042,0.08887132664910825,All genome composition feature sets
Allpahuayo mammarenavirus,100,FALSE,0.15835749475448418,0.4703089196564297,0.283917902086097,All genome composition feature sets
Almpiwar sripuvirus,100,FALSE,0.048554700487713966,0.24988278728780122,0.15094082956917454,All genome composition feature sets
Alphapapillomavirus 1,100,TRUE,0.42861056661764263,0.8304127679579163,0.6415158861703812,All genome composition feature sets
Alphapapillomavirus 11,100,TRUE,0.7280297938628207,0.9844995734844881,0.8871549656747141,All genome composition feature sets
Alphapapillomavirus 12,100,FALSE,0.21921148583047595,0.6210797011352422,0.37970396652654065,All genome composition feature sets
Alphapapillomavirus 13,100,TRUE,0.6662903719288884,0.9807674139832644,0.8859853269825984,All genome composition feature sets
Alphapapillomavirus 14,100,TRUE,0.40296973600174024,0.9341720194091724,0.7000794630745333,All genome composition feature sets
Alphapapillomavirus 2,100,TRUE,0.38866056248844494,0.8633037617582334,0.643205919121167,All genome composition feature sets
Alphapapillomavirus 3,100,TRUE,0.35241030643587345,0.864862073630778,0.6242419171116883,All genome composition feature sets
Alphapapillomavirus 4,100,TRUE,0.3708595240713386,0.9279463478129605,0.6525639336881666,All genome composition feature sets
Alphapapillomavirus 5,100,TRUE,0.5793730390696687,0.9674986288285304,0.8159072114341199,All genome composition feature sets
Alphapapillomavirus 6,100,TRUE,0.636839922322763,0.9621262073257151,0.8306260833510268,All genome composition feature sets
Alphapapillomavirus 7,100,TRUE,0.7025238081272374,0.9877485903996039,0.9064641405093109,All genome composition feature sets
Alphapapillomavirus 8,100,TRUE,0.5457375060890106,0.9384159222717509,0.7575092107644529,All genome composition feature sets
